[2026-06-10 18:04:30] [INFO    ] discord.client: logging in using static token
[2026-06-10 18:04:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Top Chatter', 'primary_guild': None, 'mfa_enabled': False, 'id': '1514369908085887037', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8584', 'clan': None, 'bot': True, 'avatar': '05cccc4aa09abe64e14aa23f2e0ab37c'}, 'session_type': 'normal', 'session_id': 'be2ef25f6f5aa69b378ebfbf7e00de3e', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1078442967141994496'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['atlanta', 'us-east', 'newark', 'us-south', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1514369908085887037', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-h2r7",{"micros":327760,"calls":["id_created",{"micros":671,"calls":[]},"session_lookup_time",{"micros":272,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-b-74",{"micros":326485,"calls":["start_session",{"micros":306452,"calls":["prd-rpc-5f7f49d797-8pn6d",{"micros":127141,"calls":["get_user",{"micros":22632},"get_guilds",{"micros":28720},"send_scheduled_deletion_message",{"micros":52},"guild_join_requests",{"micros":267},"authorized_ip_coro",{"micros":51},"pending_payments",{"micros":4892},"apex_experiments",{"micros":132612},"sessions_experiments",{"micros":27},"played_application_ids",{"micros":29},"linked_users",{"micros":26},"ad_personalization_toggles_disabled",{"micros":19},"regional_feature_config",{"micros":17}]}]},"starting_guild_connect",{"micros":22,"calls":[]},"presence_started",{"micros":444,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":19471,"calls":[]},"connect_finished",{"micros":19486,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-06-10 18:04:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-10 18:04:31] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: be2ef25f6f5aa69b378ebfbf7e00de3e).
[2026-06-10 18:04:31] [DEBUG   ] discord.client: Dispatching event connect
[2026-06-10 18:04:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'theme': None, 'guild_scheduled_events': [], 'game_application_ids': None, 'hub_type': None, 'rules_channel_id': None, 'discovery_splash': None, 'premium_subscription_count': 0, 'profile': None, 'channels': [{'version': 1677191240041, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1078442967834046514', 'flags': 0}, {'version': 1701912998891, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1078442967834046516', 'flags': 0}, {'version': 1780501050603, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1078442967834046514', 'name': 'general', 'last_pin_timestamp': '2025-09-16T20:21:32.550000+00:00', 'last_message_id': '1514378500847697970', 'id': '1078442967834046517', 'flags': 0}, {'version': 1695262265029, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1078442967141994496', 'deny': '0', 'allow': '0'}], 'parent_id': '1078442967834046516', 'name': 'General', 'last_message_id': '1336794915174088834', 'id': '1078442967834046518', 'flags': 0, 'bitrate': 64000}, {'version': 1769915340084, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1078442967834046514', 'name': 'homework', 'last_pin_timestamp': '2024-08-26T14:25:39+00:00', 'last_message_id': '1487476375672721662', 'id': '1078479263784763512', 'flags': 0}, {'version': 1767407480546, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1078442967141994496', 'deny': '0', 'allow': '0'}], 'parent_id': '1078442967834046514', 'name': 'counting', 'last_pin_timestamp': '2026-01-03T02:31:20.537000+00:00', 'last_message_id': '1508262530894528544', 'id': '1204796133134569553', 'flags': 0}, {'version': 1724806021214, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1078442967834046516', 'name': 'homework', 'last_message_id': None, 'id': '1278153834987786281', 'flags': 0, 'bitrate': 64000}], 'application_id': None, 'premium_progress_bar_enabled': False, 'activity_instances': [], 'stickers': [{'version': 1694633806970, 'type': 2, 'tags': 'nerd', 'name': 'HUSSSEIINNNNNNNN', 'id': '1151602396082999397', 'guild_id': '1078442967141994496', 'format_type': 1, 'description': '', 'available': True}, {'version': 1695487334899, 'type': 2, 'tags': '🤓', 'name': ':Billlothefool', 'id': '1155182351622606949', 'guild_id': '1078442967141994496', 'format_type': 1, 'description': '', 'available': True}], 'premium_features': None, 'banner': None, 'afk_channel_id': None, 'safety_alerts_channel_id': None, 'afk_timeout': 300, 'system_channel_flags': 0, 'latest_onboarding_question_id': None, 'id': '1078442967141994496', 'verification_level': 0, 'vanity_url_code': None, 'name': '11th grade Group Chat', 'premium_progress_bar_enabled_user_updated_at': None, 'experiments': {'evaluation_id': None, 'assignments': []}, 'system_channel_id': '1078442967834046517', 'lazy': True, 'owner_id': '500418610871664690', 'official_message_color': None, 'threads': [], 'roles': [{'version': 1677191240016, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1078442967141994496', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747432364524, 'unicode_emoji': None, 'tags': {}, 'position': 13, 'permissions': '28583006830591', 'name': 'BOT', 'mentionable': True, 'managed': False, 'id': '1078479745861308558', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15158332}, 'color': 15158332}, {'version': 1747432364519, 'unicode_emoji': None, 'tags': {}, 'position': 11, 'permissions': '8', 'name': 'Admin', 'mentionable': False, 'managed': False, 'id': '1078658144995123210', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1747432364513, 'unicode_emoji': None, 'tags': {}, 'position': 9, 'permissions': '8', 'name': 'LEBRICK/LESWEPT', 'mentionable': True, 'managed': False, 'id': '1078784619496886353', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 10038562}, 'color': 10038562}, {'version': 1747432364516, 'unicode_emoji': None, 'tags': {}, 'position': 10, 'permissions': '138534169608191', 'name': 'SULTAN HUSSEIN', 'mentionable': False, 'managed': False, 'id': '1116793267762237490', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1747432364522, 'unicode_emoji': None, 'tags': {}, 'position': 12, 'permissions': '420009146318719', 'name': 'dumb', 'mentionable': False, 'managed': False, 'id': '1154199948229890159', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1747432364510, 'unicode_emoji': None, 'tags': {'bot_id': '510016054391734273'}, 'position': 8, 'permissions': '268454984', 'name': 'counting', 'mentionable': False, 'managed': True, 'id': '1156247292093931643', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747432364506, 'unicode_emoji': None, 'tags': {}, 'position': 7, 'permissions': '0', 'name': 'BadCounter', 'mentionable': False, 'managed': False, 'id': '1179488968023228477', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 11342935}, 'color': 11342935}, {'version': 1747432364502, 'unicode_emoji': None, 'tags': {}, 'position': 6, 'permissions': '110949846720064', 'name': 'Banned From Counting', 'mentionable': False, 'managed': False, 'id': '1184565103371243580', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 2067276}, 'color': 2067276}, {'version': 1747432364499, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '0', 'name': 'Ali Glazer', 'mentionable': True, 'managed': False, 'id': '1281395938761506922', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1747432364494, 'unicode_emoji': None, 'tags': {'bot_id': '716390085896962058'}, 'position': 4, 'permissions': '388168', 'name': 'Pokétwo', 'mentionable': False, 'managed': True, 'id': '1282418188042109111', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747432364490, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '2108859006582783', 'name': 'Awesumness Sauce!', 'mentionable': False, 'managed': False, 'id': '1324165940371525662', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1747432364487, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'trash at fortnite and basketball', 'mentionable': False, 'managed': False, 'id': '1372730740743340062', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 7419530}, 'color': 7419530}, {'version': 1747432364765, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '8796093023232', 'name': 'BUM', 'mentionable': False, 'managed': False, 'id': '1373055180983238826', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 9936031}, 'color': 9936031}, {'version': 1781126369809, 'unicode_emoji': None, 'tags': {'bot_id': '1514369908085887037'}, 'position': 1, 'permissions': '563242313575488', 'name': 'Top Chatter', 'mentionable': False, 'managed': True, 'id': '1514378497987182727', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'explicit_content_filter': 0, 'description': None, 'large': False, 'icon': '179ece0783614bf632c2b73321338256', 'soundboard_sounds': [{'volume': 1.0, 'user_id': '500418610871664690', 'sound_id': '1296104465463509024', 'name': 'Moosy moose', 'guild_id': '1078442967141994496', 'emoji_name': '😎', 'emoji_id': None, 'available': True}, {'volume': 1.0, 'user_id': '500418610871664690', 'sound_id': '1296104682590048357', 'name': 'moosy mous1', 'guild_id': '1078442967141994496', 'emoji_name': '😎', 'emoji_id': None, 'available': True}], 'verification_role_id': None, 'features': ['AUTO_MODERATION', 'SOUNDBOARD', 'TIERLESS_BOOSTING_SYSTEM_MESSAGE'], 'moderator_reporting': None, 'splash': None, 'premium_tier': 0, 'voice_states': [], 'max_stage_video_channel_users': 50, 'inventory_settings': None, 'region': 'deprecated', 'unavailable': False, 'preferred_locale': 'en-US', 'home_header': None, 'max_video_channel_users': 25, 'max_members': 25000000, 'owner_configured_content_level': 0, 'emojis': [{'version': 1686335185337, 'roles': [], 'require_colons': True, 'name': 'lebrick', 'managed': False, 'id': '1116795453950922772', 'available': True, 'animated': False}, {'version': 1686335218128, 'roles': [], 'require_colons': True, 'name': 'leswept', 'managed': False, 'id': '1116795591524094095', 'available': True, 'animated': False}, {'version': 1694526935932, 'roles': [], 'require_colons': True, 'name': 'OOOOOOO', 'managed': False, 'id': '1151154119902511176', 'available': True, 'animated': False}, {'version': 1697333625999, 'roles': [], 'require_colons': True, 'name': 'bruh', 'managed': False, 'id': '1162926240009826345', 'available': True, 'animated': False}, {'version': 1698071737552, 'roles': [], 'require_colons': True, 'name': 'Aligivingbirth', 'managed': False, 'id': '1166022071499903056', 'available': True, 'animated': False}, {'version': 1755816625627, 'roles': [], 'require_colons': True, 'name': 'absolutecinema', 'managed': False, 'id': '1408221736670990378', 'available': True, 'animated': False}], 'stage_instances': [], 'embedded_activities': [], 'joined_at': '2026-06-10T21:19:29.858511+00:00', 'mfa_level': 0, 'members': [{'user': {'username': 'Top Chatter', 'public_flags': 0, 'primary_guild': None, 'id': '1514369908085887037', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8584', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '05cccc4aa09abe64e14aa23f2e0ab37c'}, 'roles': ['1514378497987182727'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-10T21:19:29.858511+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'version': 1755816625636, 'public_updates_channel_id': None, 'presences': [], 'incidents_data': None, 'application_command_counts': {}, 'nsfw': False, 'nsfw_level': 0, 'member_count': 14, 'default_message_notifications': 0}}
[2026-06-10 18:04:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-10 18:04:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '42141c767deeb0c3e5652646ef46ee01', 'members': [{'user': {'username': 'bot_gg', 'public_flags': 64, 'primary_guild': {'tag': 'LEGO', 'identity_guild_id': '1327394324123746355', 'identity_enabled': True, 'badge': '5aede8eb8ee1ede265b8ec9814af25ef'}, 'id': '500418610871664690', 'global_name': 'BOT_GG', 'display_name_styles': None, 'display_name': 'BOT_GG', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '9532fb868c34448d161c3217a96cf3b8'}, 'roles': ['1078479745861308558'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-02-23T22:27:19.909000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'counting', 'public_flags': 589824, 'primary_guild': None, 'id': '510016054391734273', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5250', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'abde9a3c45dc8aea649fb74c5e91e5b9'}, 'roles': ['1156247292093931643', '1179488968023228477', '1078479745861308558'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-09-26T15:13:56.549000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'badifr', 'public_flags': 0, 'primary_guild': None, 'id': '622826618976600075', 'global_name': 'medi', 'display_name_styles': None, 'display_name': 'medi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3470e1cc2e349994c4692337dd109f56'}, 'roles': ['1078658144995123210', '1179488968023228477'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-11-12T22:55:09.377000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': '2025-02-10T15:03:03.759000+00:00', 'banner': None, 'avatar': None}, {'user': {'username': 'aiihai', 'public_flags': 256, 'primary_guild': None, 'id': '632700864804683777', 'global_name': 'aiihai', 'display_name_styles': None, 'display_name': 'aiihai', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b91527af588952b584dff617518dfb83'}, 'roles': ['1281395938761506922'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-06T18:00:14.353000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Pokétwo', 'public_flags': 65536, 'primary_guild': None, 'id': '716390085896962058', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8236', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3031fa9e2fabde1652a57ab33f4d7f37'}, 'roles': ['1078479745861308558', '1282418188042109111'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-09-08T19:12:02.241000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'late_r', 'public_flags': 128, 'primary_guild': None, 'id': '724774642782437467', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '0bfa2bd585df1f38b8180819d96c59fd'}, 'roles': ['1179488968023228477'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-25T20:53:32.276000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'muhamm38_', 'public_flags': 64, 'primary_guild': None, 'id': '763070554172817428', 'global_name': 'dirk', 'display_name_styles': None, 'display_name': 'dirk', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '1c35bca56353a68c1c05d5cfa13871f7'}, 'roles': ['1078658144995123210', '1179488968023228477'], 'premium_since': None, 'pending': False, 'nick': 'hussein', 'mute': False, 'joined_at': '2023-02-23T23:02:20.441000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': '2024-11-13T15:28:54.884000+00:00', 'banner': None, 'avatar': None}, {'user': {'username': 'cyvulture', 'public_flags': 0, 'primary_guild': {'tag': 'TCD', 'identity_guild_id': '1395663656523661462', 'identity_enabled': True, 'badge': '0a6fad9719a78775a491325e97489cc8'}, 'id': '850484627092013076', 'global_name': 'CyVulture', 'display_name_styles': None, 'display_name': 'CyVulture', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd027d91991df8a81d829c3d7726350d1'}, 'roles': ['1078658144995123210', '1179488968023228477'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-01-01T00:24:18.660000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'the_typical_mickey1618', 'public_flags': 0, 'primary_guild': None, 'id': '909585285510234125', 'global_name': 'google_was_my_idea', 'display_name_styles': None, 'display_name': 'google_was_my_idea', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '114faa87c6732087735eeaf993133cf6'}, 'roles': ['1184565103371243580'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-12-01T21:31:36.394000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': '2025-04-06T07:27:53.635000+00:00', 'banner': None, 'avatar': None}, {'user': {'username': 'musaayib', 'public_flags': 256, 'primary_guild': {'tag': 'مسلم', 'identity_guild_id': '1112935024052949042', 'identity_enabled': True, 'badge': '6473797948e6d36a991e425c8b7c353c'}, 'id': '991763953501880330', 'global_name': 'Saeed ibn Al musaayib', 'display_name_styles': None, 'display_name': 'Saeed ibn Al musaayib', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1271174640026255380', 'expires_at': None, 'asset': 'a_13913a00bd9990ab4102a3bf069f0f3f'}, 'avatar': '0bf81d05446fecc4262a1b919c8e6d6c'}, 'roles': ['1078784619496886353', '1179488968023228477'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-01-01T00:42:39.687000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'save_the_sharks', 'public_flags': 0, 'primary_guild': None, 'id': '1096970112956911616', 'global_name': 'save_the_sharks', 'display_name_styles': None, 'display_name': 'save_the_sharks', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5188292b07cc86f81582bc0012a92d41'}, 'roles': ['1324165940371525662'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-16T15:13:23.529000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': '2024-08-19T23:40:36.135000+00:00', 'banner': None, 'avatar': None}, {'user': {'username': 'ae_tus', 'public_flags': 0, 'primary_guild': {'tag': 'AC', 'identity_guild_id': '215838530889318401', 'identity_enabled': True, 'badge': '20e99631eeb6fee2e535a70c28c38882'}, 'id': '1276193363539918879', 'global_name': 'ae_tus', 'display_name_styles': None, 'display_name': 'ae_tus', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd6eedb4b573a38ab41285cae81f660c8'}, 'roles': ['1078658144995123210', '1179488968023228477', '1324165940371525662'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-10-20T19:48:19.103000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': '2024-12-16T01:00:42.122000+00:00', 'banner': None, 'avatar': None}, {'user': {'username': 'sa1d.2x', 'public_flags': 0, 'primary_guild': {'tag': 'GTAO', 'identity_guild_id': '224565836277481473', 'identity_enabled': True, 'badge': '7b006ea85b2188f12f76423fd9d6f2ae'}, 'id': '1279631941762813964', 'global_name': 'said', 'display_name_styles': None, 'display_name': 'said', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5dc8ab085621ca69718853d6fddefc96'}, 'roles': ['1179488968023228477', '1372730740743340062'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-14T02:40:02.028000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': '2026-05-24T23:49:06.617000+00:00', 'banner': None, 'avatar': None}, {'user': {'username': 'Top Chatter', 'public_flags': 0, 'primary_guild': None, 'id': '1514369908085887037', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8584', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '05cccc4aa09abe64e14aa23f2e0ab37c'}, 'roles': ['1514378497987182727'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-10T21:19:29.858511+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1078442967141994496', 'chunk_index': 0, 'chunk_count': 1}}
[2026-06-10 18:04:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-10 18:04:31] [DEBUG   ] discord.state: Processed a chunk for 14 members in guild ID 1078442967141994496.
[2026-06-10 18:04:33] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-06-10 18:04:33] [DEBUG   ] discord.client: Dispatching event ready
